2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,class
775.7084783309073,350.89455834635027,751.1557575040824,342.53618529892054,730.5210240432402,330.5210240432403,743.0585836143848,359.25293139378,710.4086888978624,350.89455834635027,690.0351545947524,350.89455834635027,673.579607657625,351.15575750408243,738.87939709067,375.4472791731752,702.3115150081649,363.4321179174949,677.7587941813399,363.1709187597627,653.2060733545151,363.1709187597627,734.9614097246872,387.7236395865876,702.3115150081649,379.62646569689,681.6767815473227,375.4472791731752,661.3032472442127,375.4472791731752,738.6181979329378,400.0,714.3266762638451,395.82081347628514,697.8711293267178,391.9028261103024,677.7587941813399,387.7236395865876,1
775.7084783309073,350.89455834635027,751.1557575040824,342.53618529892054,730.5210240432402,330.5210240432403,743.0585836143848,359.25293139378,710.4086888978624,350.89455834635027,690.0351545947524,350.89455834635027,673.579607657625,351.15575750408243,738.87939709067,375.4472791731752,702.3115150081649,363.4321179174949,677.7587941813399,363.1709187597627,657.1240607204978,363.1709187597627,738.87939709067,387.7236395865876,702.3115150081649,379.62646569689,681.6767815473227,375.4472791731752,661.3032472442127,375.4472791731752,738.87939709067,400.0,714.3266762638451,395.82081347628514,697.8711293267178,391.9028261103024,677.7587941813399,387.7236395865876,1
775.7084783309073,350.89455834635027,751.1557575040824,342.53618529892054,730.7822232009723,334.439011409223,743.0585836143848,359.25293139378,710.4086888978624,350.89455834635027,690.0351545947524,350.89455834635027,673.579607657625,355.0737448700651,738.87939709067,375.4472791731752,702.3115150081649,367.0889061257454,677.7587941813399,363.4321179174949,657.1240607204978,363.1709187597627,734.9614097246872,387.7236395865876,706.2295023741475,379.62646569689,681.6767815473227,379.3652665391578,661.5644464019448,375.4472791731752,734.9614097246872,400.0,714.3266762638451,395.82081347628514,698.13232848445,395.82081347628514,677.7587941813399,387.7236395865876,1
775.7084783309073,350.89455834635027,751.1557575040824,342.7973844566527,730.7822232009723,334.439011409223,743.0585836143848,363.1709187597627,710.4086888978624,355.0737448700651,690.0351545947524,355.0737448700651,673.579607657625,355.0737448700651,738.87939709067,375.4472791731752,706.2295023741475,367.3501052834776,677.7587941813399,367.3501052834776,657.3852598782299,363.1709187597627,734.7002105669551,387.7236395865876,706.2295023741475,383.5444530628727,681.6767815473227,379.62646569689,661.5644464019448,379.62646569689,738.6181979329378,403.9179873659827,714.3266762638451,396.0820126340173,698.13232848445,395.82081347628514,681.6767815473227,391.9028261103024,1
775.5541854298123,346.9026393206676,750.8455126384398,338.4911762427536,730.3425713860244,330.3425713860244,742.6969077817106,358.99411749516906,709.8396301336089,350.8455126384398,689.3366888811934,350.8455126384398,672.7766209465501,350.8455126384398,738.4911762427536,375.2913272086275,705.6338985946519,367.1427223518983,676.9823524855071,363.199849034126,656.2165530119069,363.199849034126,734.5483029249814,387.90852182549855,705.6338985946519,379.7599169687693,680.9252258032793,375.5541854298123,660.6851427720487,375.5541854298123,738.2283180215687,400.2628582211848,713.7825034513811,396.05712668222776,697.4852937379226,396.05712668222776,680.9252258032793,387.90852182549855,1
771.3484538908552,346.63978109948283,746.6397810994828,334.2854447037966,726.1368398470673,326.1368398470674,738.4911762427536,354.7883859562121,705.6338985946519,346.63978109948283,685.1309573422363,346.63978109948283,668.5708894075931,350.58265441725507,734.2854447037965,371.34845389085535,697.4852937379226,362.9369908129413,672.7766209465501,362.9369908129413,652.0108214729498,358.9941174951691,730.3425713860244,383.7027902865416,701.4281670556949,379.49705874758456,676.7194942643223,375.29132720862754,656.4794112330917,375.29132720862754,734.2854447037965,396.0571266822278,709.5767719124241,391.8513951432708,693.2795621989656,391.8513951432708,672.7766209465501,387.64566360431377,1
771.3484538908552,346.63978109948283,746.376922878298,334.2854447037966,726.1368398470673,326.1368398470674,738.4911762427536,354.7883859562121,705.6338985946519,346.63978109948283,685.1309573422363,346.63978109948283,668.5708894075931,350.58265441725507,734.2854447037965,371.34845389085535,697.4852937379226,362.9369908129413,672.7766209465501,362.9369908129413,648.3308063763625,358.9941174951691,730.3425713860244,383.7027902865416,697.4852937379226,379.49705874758456,676.7194942643223,375.29132720862754,656.2165530119069,375.29132720862754,734.2854447037965,396.0571266822278,709.5767719124241,391.8513951432708,693.2795621989656,391.8513951432708,672.7766209465501,387.64566360431377,1
771.3116178179698,346.57117813805405,746.571178138054,334.2009582980961,726.04187712706,326.04187712706005,738.412096967018,354.7302593090901,705.2493799492584,346.57117813805405,684.7200789382644,350.5191206401683,668.4019165961922,350.5191206401683,734.2009582980961,371.31161781796993,697.3534949450299,362.88934048012624,672.6130552651141,362.88934048012624,648.1358117520058,358.941397978012,730.2530157959818,383.6818376579279,697.3534949450299,379.470698989006,676.5609977672283,375.2595603200841,656.0316967562343,375.2595603200841,734.2009582980961,396.0520574978858,709.7237147849878,391.840918828964,693.1423562761081,391.840918828964,672.6130552651141,387.62978016004206,1
773.2388112184829,345.90211300080404,741.8735469476725,332.37764125100506,719.4286789373677,323.45724499049936,732.9531506871667,354.8225092613098,696.983810927063,345.90211300080404,674.5389429167583,345.90211300080404,656.410395677666,350.2184337720165,728.3490751978734,372.9510565004021,688.0634146665573,363.7429055218155,661.0144711669593,363.7429055218155,634.2532823854422,359.42658475060307,728.0613204797926,386.475528250201,688.0634146665573,381.8714527609077,665.3307919381717,377.26737727161446,642.885923927867,377.26737727161446,728.3490751978734,404.3163207712125,701.3001316982754,395.3959245107068,683.459339177264,395.3959245107068,661.0144711669593,390.7918490214135,1
773.2248996267055,345.87399064323245,741.8433303719838,332.34248830404056,719.3867945750271,323.41745484627575,737.2368614905567,354.7990241009973,696.9302587780703,345.87399064323245,674.4737229811135,350.1925552195703,656.3357517604946,350.1925552195703,728.3118280327919,372.9369953216162,688.0052253203055,363.7240575587622,660.9422206419217,363.7240575587622,633.879215963538,359.40549298242433,728.0239237277027,386.4684976608081,688.0052253203055,381.8620287793811,665.2607852182596,377.2555598979541,642.8042494213028,377.2555598979541,728.3118280327919,404.31856457633785,701.5367276594973,399.7120956949108,683.3987564388784,395.393531118573,660.9422206419217,390.787062237146,1
